objid,ra,dec,u,g,r,i,z,class
1237661976010817679,186.206845517161,7.84722247601581,19.16727,18.73482,18.19031,17.90518,17.72353,QSO
1237661977085608036,188.49637103118,8.70322162765838,18.9185,18.28246,17.76129,17.6012,17.32729,QSO
1237662193455857777,194.270896798358,41.1114243363671,19.46855,19.16376,18.5963,18.06941,18.14755,QSO
1237660773420171392,152.33276366003,40.2695538361267,18.97759,18.72651,18.37186,18.04132,17.9592,QSO
1237660937165799588,134.102382667428,57.830504473942,18.93347,18.43613,17.78436,17.36596,17.20856,QSO
1237660958107369659,122.577821565455,25.1559072959294,18.26288,17.98382,17.54702,17.40904,17.13462,QSO
1237662194534383782,208.770312882391,39.858961016984,19.39386,18.30174,17.33629,16.85929,16.57801,QSO
1237660961864548558,135.318377893772,32.890946941383,19.38823,19.09242,18.62216,18.23372,18.15258,QSO
1237660961866449007,139.764888030424,35.0434173230737,17.88544,17.62443,17.32187,16.96349,16.91584,QSO
1237662195060506767,176.140867492592,42.4271377574901,19.51596,18.70258,17.78934,17.39421,17.07435,QSO
1237660961867300963,141.869042299989,35.9203464739698,19.10604,18.693,17.98234,17.59544,17.33458,QSO
1237660962397815004,127.169344678506,28.3950992832654,19.26402,19.10022,18.66466,18.19171,18.07319,QSO
1237662195071582303,209.731337832406,40.2018353680884,19.23308,18.60488,18.06132,17.62088,17.5474,QSO
1237660962939797742,138.325424898913,35.3589140673548,19.46885,18.83321,18.16869,17.8632,17.47132,QSO
1237660962940780570,140.661231230813,36.460526263745,19.01675,18.58186,18.09484,18.01208,17.86675,QSO
1237662195595214940,169.262208437145,42.2107491167576,19.58437,19.07946,18.5494,18.28946,18.0451,QSO
1237661063869825097,127.864976071635,5.82351023689978,18.3346,18.06717,17.52659,17.13777,16.97886,QSO
1237662196132347953,170.030958329472,42.5976078243729,17.43207,17.38867,17.28285,16.87401,17.09064,QSO
1237662196133658675,173.993621773835,43.1944925512329,19.50094,19.147,18.36537,17.84062,17.66971,QSO
1237661064947433682,136.530547689833,8.3169646456479,19.29033,19.01651,18.33587,17.95284,17.61695,QSO
1237661065479586004,125.752128141977,6.89180951523256,18.98524,18.74549,18.33492,18.09537,17.81503,QSO
1237662198277865583,214.446156920499,10.1146975015117,18.94136,18.52514,17.84455,17.42453,17.19882,QSO
1237662198278979821,217.015611024485,9.92870947798295,19.46532,18.7428,17.98949,17.4955,17.28405,QSO
1237662198279504294,218.308619652788,9.76418620975945,19.0494,18.28395,17.39887,17.09258,16.77583,QSO
1237661065479782653,126.205550779081,6.81368629641767,18.59733,18.30072,17.75055,17.36026,17.2471,QSO
1237661065482338518,131.951235526828,7.85045811190981,19.2657,19.13321,18.63314,18.10807,17.98137,QSO
1237662198814801957,214.627336181951,10.5813557621497,18.86404,18.24426,17.59036,17.20355,17.00669,QSO
1237662198816047108,217.476012630552,10.3489919997984,19.04381,18.81494,18.45485,18.18786,18.06211,QSO
1237662198816047137,217.50820475635,10.2247810370139,18.8836,18.59514,18.1699,17.88516,17.74465,QSO
1237662198826271177,240.950659918343,6.78035232013058,19.54235,19.30828,18.87516,18.50341,18.38278,QSO
1237661065483255964,133.994368601997,8.22198660698853,19.03489,18.67401,18.008,17.52782,17.28045,QSO
1237662199349444693,209.599474888329,11.4626990944592,18.74905,18.36442,17.76994,17.34606,17.25826,QSO
1237662199351804071,215.039555871423,11.0190879757135,18.90032,18.44823,17.37641,16.80702,16.56103,QSO
1237661065484173566,136.127602581112,8.55181508766614,18.97083,18.34991,17.49918,17.03224,16.72873,QSO
1237661066017702008,128.431138542819,7.78179703480087,17.63376,17.55404,17.42392,17.05205,17.25411,QSO
1237662199888150782,213.881094300937,11.5324973989242,19.57239,19.0467,18.24749,17.84877,17.4955,QSO
1237662199888674977,215.078316147333,11.3214882351246,19.36192,19.17899,18.59913,18.28707,18.03615,QSO
1237661068185043137,174.619375341543,13.5450772594099,19.55859,19.23005,18.81497,18.50116,18.34572,QSO
1237661068186550358,178.058070121757,13.6459005083792,19.12798,18.30672,17.4916,17.07473,16.8198,QSO
1237661068699894085,123.92722338286,6.5897023428773,18.34277,18.14735,17.7433,17.42476,17.32128,QSO
1237661068720341068,170.838222093654,13.7393494951615,19.42584,18.94474,18.41936,18.10972,17.9283,QSO
1237661068722044941,174.836461057026,14.0989985123567,18.66309,18.39813,18.01692,17.80189,17.44437,QSO
1237661069251510430,157.438941224376,13.0912255668863,19.17434,18.98187,18.5006,18.17278,18.13314,QSO
